Date,Population,T avg C,D.P avg C,humidity,Average wind speed(Kmh),Ppt avg (in),water consumption(m3)
6/29/year 1,1769,34.44444444,15,33,47.4594366,0,983.5252262
6/30/year 1,1539,34.44444444,14.44444444,29,47.3709229,0,986.856387
7/1/year 1,1539,37.22222222,16.11111111,26.5,47.314596,0,981.8596458
7/2/year 1,1769,37.77777778,17.77777778,31.5,47.3387361,0,973.5317438
7/3/year 1,1769,38.33333333,18.88888889,28,47.2019422,0,985.1908066
7/4/year 1,1769,37.77777778,22.22222222,42.5,47.2663158,0,958.5415202
7/5/year 1,1769,33.33333333,20.55555556,43.5,47.3548295,0,985.1908066
7/6/year 1,1769,35,22.77777778,48.5,47.2099889,0,989.3547576
7/7/year 1,1539,27.77777778,22.22222222,65.5,47.3467828,0,1025.164736
7/8/year 1,1539,30.55555556,22.77777778,57.5,47.5077168,0.16,1052.646813
7/9/year 1,1769,32.22222222,22.77777778,53.5,47.4996701,0,1055.977974
7/10/year 1,1769,34.44444444,21.66666667,45,47.5077168,0,1170.070231
7/11/year 1,1769,28.88888889,21.11111111,66,46.4616458,0.67,1397.421956
7/12/year 1,1769,27.22222222,23.33333333,73,47.5720904,0.08,1385.762893
7/13/year 1,1769,30,22.22222222,66,47.4513899,0.04,1308.313404
7/14/year 1,1539,30,21.11111111,57.5,47.4916234,0.08,1323.303628
7/15/year 1,1539,30,21.11111111,59,47.5318569,0,1335.795481
7/16/year 1,1769,32.22222222,22.22222222,52.5,47.6042772,0,1354.116865
7/17/year 1,1769,33.33333333,20.55555556,42,47.5720904,0,1324.136418
7/18/year 1,1769,33.33333333,21.11111111,51,47.3467828,0.16,1277.500167
7/19/year 1,1769,30.55555556,21.11111111,58.5,47.3306894,0,935.2233946
7/20/year 1,1769,33.33333333,18.33333333,45,47.4513899,0,1169.237441
7/21/year 1,1539,31.11111111,20,47.5,47.6042772,0,1234.195076
7/22/year 1,1539,32.77777778,21.11111111,48.5,47.47553,0,1173.401392
7/23/year 1,1769,35,21.66666667,42.5,47.2824092,0,1156.745588
7/24/year 1,1769,35.55555556,23.33333333,45,47.1858488,0,1001.01382
7/25/year 1,1769,29.44444444,22.22222222,66.5,47.4916234,0.87,1009.341722
7/26/year 1,1769,30,22.22222222,58.5,47.5479503,0,1011.007303
7/27/year 1,1769,32.22222222,21.66666667,52,47.4272498,0,1039.32217
7/28/year 1,1539,34.44444444,22.77777778,47.5,47.3789696,0,1043.486121
7/29/year 1,1539,34.44444444,25,51.5,47.395063,0,1050.981232
7/30/year 1,1769,33.33333333,25,59.5,47.4352965,0,1057.643554
7/31/year 1,1769,31.11111111,24.44444444,64.5,47.4111564,0.71,1047.650072
8/1/year 1,1769,30,24.44444444,72,47.4835767,0,1002.679401
8/2/year 1,1769,32.77777778,25,61.5,47.3709229,0,1016.004044
8/3/year 1,1769,30,25,63.5,47.234129,0.16,1055.977974
8/4/year 1,1539,23.88888889,21.66666667,81,47.5479503,3.39,1072.633778
8/5/year 1,1539,26.66666667,22.22222222,70.5,47.6606041,0,886.921563
8/6/year 1,1769,30,21.66666667,60.5,47.6284173,0,944.3840868
8/7/year 1,1769,31.66666667,22.77777778,54.5,47.6123239,0,969.3677928
8/8/year 1,1769,31.66666667,24.44444444,60.5,47.5801371,0,979.3612752
8/9/year 1,1769,26.66666667,21.66666667,65.5,47.5479503,0.59,929.8481124
8/10/year 1,1769,27.77777778,22.22222222,68.5,47.5881838,0.35,915.2364298
8/11/year 1,1539,28.33333333,22.77777778,71,47.7249777,0.04,1309.38089
8/12/year 1,1539,30,21.66666667,58.5,47.6606041,0,900.2462062
8/13/year 1,1769,30.55555556,22.77777778,59,47.5720904,0,905.2429474
8/14/year 1,1769,30,22.77777778,66,47.6445107,0,902.7445768
8/15/year 1,1769,29.44444444,22.77777778,67,47.7571645,0,940.201358
8/16/year 1,1769,30,22.77777778,66.5,47.6766975,0.12,868.6001786
8/17/year 1,1769,32.22222222,22.77777778,59.5,47.6284173,0,845.282053
8/18/year 1,1539,32.77777778,23.88888889,64,47.6445107,0,1603.953925
8/19/year 1,1539,32.77777778,25,65.5,47.5881838,0,717.0323622
8/20/year 1,1769,27.77777778,25.55555556,86.5,47.6042772,5,706.2060896
8/21/year 1,1769,28.88888889,25,80,47.5720904,5,716.199572
8/22/year 1,1769,25,23.88888889,89.5,47.7410711,0.12,720.363523
8/23/year 1,1769,28.88888889,23.88888889,74.5,47.7491178,0,714.5339916
8/24/year 1,1769,28.88888889,25,77,47.6847442,1.85,724.527474
8/25/year 1,1539,26.66666667,23.88888889,79,47.7410711,0,724.527474
8/26/year 1,1539,27.22222222,23.33333333,78,47.8376315,0.12,657.0714678
8/27/year 1,1769,28.88888889,23.33333333,72.5,47.6847442,0,616.264748
8/28/year 1,1769,29.44444444,23.33333333,68,47.8134914,0,722.0291034
8/29/year 1,1769,30,23.33333333,67.5,47.8054447,0,711.2028308
8/30/year 1,1769,31.11111111,23.33333333,61.5,47.7410711,0,732.855376
8/31/year 1,1769,28.88888889,23.33333333,73,47.7491178,0,720.363523
9/1/year 1,1539,30,24.44444444,65.5,47.6606041,0.87,806.1409136
9/2/year 1,1539,28.88888889,23.88888889,70.5,47.7410711,0,789.4851096
9/3/year 1,3554,25.55555556,23.33333333,79,47.7491178,2.68,672.8944816
9/4/year 1,3554,27.77777778,23.88888889,80,47.8617716,0,679.5568032
9/5/year 1,3554,27.77777778,22.77777778,79.5,47.9422386,0.31,734.5209564
9/6/year 1,3554,26.66666667,21.66666667,73.5,48.0307523,0.39,561.3005948
9/7/year 1,3554,26.66666667,22.22222222,70.5,47.9261452,0.04,541.6164628
